artifact_id,claim,source_url,author_or_org,scrape_timestamp,quote_snippet,used_in_source_file
S001,Use tokens as single source of truth for styling,https://www.designtokens.org/,DTCG,2026-07-17T00:00:00Z,Use tokens as the single source of truth,design-tokens.md
S002,Content first rule for components,https://design-system.service.gov.uk/,GOV.UK,2026-07-17T00:00:00Z,Do not use components for decoration; use them to aid content,component-usage-rules.md
S003,WCAG color contrast standards,https://www.w3.org/WAI/standards-guidelines/wcag/,W3C,2026-07-17T00:00:00Z,WCAG 2.1 defines contrast thresholds,accessibility.md
S004,Modal focus trap guidance,https://www.patternfly.org/,PatternFly,2026-07-17T00:00:00Z,Trap focus inside modal while open,components/modal.md
S005,Form labels above inputs preference,https://gitlab.com/gitlab-org/pajamas,GitLab Pajamas,2026-07-17T00:00:00Z,Place labels above the input for most flows,components/input.md
S006,Use header-only navigation for shallow products and add a left panel for persistent hierarchy,https://carbondesignsystem.com/patterns/global-header/,Carbon Design System,2026-07-17T00:00:00Z,Header only and header with left panel,product-patterns.md
S007,Hide persistent navigation below wide breakpoints and reveal it as an overlay,https://design.gitlab.com/patterns/navigation-sidebar/,GitLab Pajamas,2026-07-17T00:00:00Z,Sidebar hidden by default below 1200px,product-patterns.md
S008,Provide a skip link unique navigation labels and one main landmark,https://www.patternfly.org/components/page/accessibility/,PatternFly,2026-07-17T00:00:00Z,Skip content unique nav labels one main,product-patterns.md
S009,Start page layouts with a single column on small screens,https://design-system.service.gov.uk/styles/layout/,GOV.UK Design System,2026-07-17T00:00:00Z,Design for small screens first,product-patterns.md
S010,Let page templates coordinate headers sidebars content width and sticky offsets,https://eui.elastic.co/docs/components/templates/page-template/,Elastic UI,2026-07-17T00:00:00Z,Template coordinates header sidebar and sections,product-patterns.md
S011,Use a dedicated React icon package with standard optical sizes and decorative defaults,https://carbondesignsystem.com/elements/icons/code/,Carbon Design System,2026-07-17T00:00:00Z,React icons use named imports standard sizes and decorative defaults,foundations.md
S012,Keep icon size alignment and color consistent and provide adequate interactive targets,https://carbondesignsystem.com/elements/icons/usage/,Carbon Design System,2026-07-17T00:00:00Z,Use consistent sizes centered alignment monochrome color and sufficient targets,foundations.md
S013,Use familiar metaphors consistently and include text labels where practical,https://atlassian.design/foundations/iconography/,Atlassian Design System,2026-07-17T00:00:00Z,Use familiar symbols consistently and pair icons with labels where possible,foundations.md
S014,Use semantic icon colors for status without making color the only signal,https://www.patternfly.org/foundations-and-styles/iconography/,PatternFly,2026-07-17T00:00:00Z,Semantic icon colors communicate status alongside accessible context,foundations.md
S015,Use icons consistently to reinforce nearby text and hide decorative symbols from assistive technology,https://designsystem.digital.gov/components/icon/,U.S. Web Design System,2026-07-17T00:00:00Z,Icons reinforce text and decorative icons are hidden from screen readers,foundations.md
S016,Place global table controls above the data and expose selection through a batch action bar,https://carbondesignsystem.com/components/data-table/usage/,Carbon Design System,2026-07-17T00:00:00Z,Toolbar contains global controls and batch actions appear for selected items,product-patterns.md
S017,Keep table composition declarative and close to native table structure,https://www.patternfly.org/components/table/,PatternFly,2026-07-17T00:00:00Z,Compose table head body rows headers and cells explicitly,product-patterns.md
S018,Use a semantic data list for flexible records whose fields differ across rows,https://www.patternfly.org/components/data-list/,PatternFly,2026-07-17T00:00:00Z,Data list is a flexible alternative when row data points vary,product-patterns.md
S019,Use visible row actions and preserve table comparison when choosing responsive overflow,https://design.gitlab.com/components/table/,GitLab Pajamas,2026-07-17T00:00:00Z,Row actions stay visible and responsive behavior depends on comparison needs,product-patterns.md
S020,Make scrollable tables focusable and announce row sorting,https://designsystem.digital.gov/components/table/,U.S. Web Design System,2026-07-17T00:00:00Z,Scrollable tables need tabindex and sorting needs an aria-live region,product-patterns.md
S021,Use unordered lists for related resources with unique linked titles and useful metadata,https://designsystem.digital.gov/components/collection/,U.S. Web Design System,2026-07-17T00:00:00Z,Collections use ul and li with unique headings descriptions and metadata,product-patterns.md
S022,Move header links into the left navigation at narrow widths,https://carbondesignsystem.com/components/UI-shell-header/usage/,Carbon Design System,2026-07-25T00:00:00Z,Header navigation collapses into the left panel on narrow screens,product-patterns.md
S023,Keep persistent navigation short shallow and contextually stable,https://design.gitlab.com/patterns/navigation-sidebar/,GitLab Pajamas,2026-07-25T00:00:00Z,Sidebar labels stay short with two visible hierarchy levels,product-patterns.md
S024,Give responsive side navigation a named mobile trigger,https://eui.elastic.co/docs/components/navigation/side-nav/,Elastic UI,2026-07-25T00:00:00Z,Responsive side navigation requires a mobile title,accessibility.md
S025,Use a visible title and current indicator for in-page navigation,https://designsystem.digital.gov/components/in-page-navigation/,U.S. Web Design System,2026-07-25T00:00:00Z,In-page navigation orients users among headings and current sections,product-patterns.md
S026,Place filter controls directly above tables and provide clear all,https://design.gitlab.com/components/table/,GitLab Pajamas,2026-07-25T00:00:00Z,Filtering controls belong above data with a clear-all option,product-patterns.md
S027,Organize dataset controls in a table toolbar and replace them with batch actions during selection,https://carbondesignsystem.com/components/data-table/usage/,Carbon Design System,2026-07-25T00:00:00Z,Table toolbars coordinate global controls and selection actions,product-patterns.md
